Etiquetas de fila,NOMBRE DE PRODUCTO,Semiterminado,Descripción Semi,ABC anterior,Mínimo Producción,Inventario Semiterminado,ABC,MTO/ MTS,Relación latas a cajas, Marzo , Abril , Mayo , Junio , Julio , Agosto , Septiembre , Octubre , Noviembre , Diciembre , Enero , Febrero , Marzo , Abril 
200014,RAJA JALAPEÑO VDE SM 40/105 G,100014,Bote rajas verdes 105,A," 67,200 "," 1,009,507 ",A,MTS,40," 5,512 "," 4,643 "," 5,745 "," 7,250 "," 7,582 "," 4,376 "," 4,885 "," 6,470 "," 6,786 "," 7,650 "," 4,683 "," 5,528 "," 5,512 "," 4,643 "
200086,RAJAS VERDES JALP GOLDEN HILLS 40/105G,100014,Bote rajas verdes 105,A," 67,200 "," 1,009,507 ",C,MTO,40, -   , 45 , 45 , 55 , 55 , -   , 172 , -   , -   , 71 , 105 , 36 , -   , 45 
200001,RAJA JALAPEÑO VDE SM 24/215 G,100015,Bote rajas verdes 215,A," 216,000 "," 1,626,415 ",A,MTS,24," 22,181 "," 24,711 "," 22,997 "," 27,060 "," 26,303 "," 24,631 "," 29,036 "," 26,966 "," 28,021 "," 29,398 "," 20,682 "," 22,974 "," 22,181 "," 24,711 "
200005,RAJAS VERDES NUESTRO CAMPO 24/210G,100015,Bote rajas verdes 215,A," 216,000 "," 1,626,415 ",A,MTS,24," 12,941 "," 13,577 "," 12,751 "," 12,088 "," 13,903 "," 12,941 "," 12,941 "," 12,941 "," 12,941 "," 13,588 "," 13,588 "," 15,808 "," 12,941 "," 13,577 "
200018,RAJA JALAPEÑO VDE BLU 24/210 G,100015,Bote rajas verdes 215,A," 216,000 "," 1,626,415 ",B,MTS,24," 3,800 "," 7,600 "," 3,800 "," 3,800 "," 7,600 "," 3,990 "," 7,980 "," 7,980 "," 3,990 "," 3,990 "," 7,980 "," 3,800 "," 3,800 "," 7,600 "
200039,RAJA JALAP VDE CLEY 24/215 G,100015,Bote rajas verdes 215,A," 216,000 "," 1,626,415 ",C,MTS,24," 1,300 "," 1,088 "," 1,000 "," 1,201 "," 1,201 "," 1,689 ", 864 , -   ," 1,370 "," 1,360 ", 956 ," 1,000 "," 1,300 "," 1,088 "
200040,RAJA JALAPEÑO VDE SM 24/215 G HNMC,100015,Bote rajas verdes 215,A," 216,000 "," 1,626,415 ",C,MTO,24, -   , -   , 980 , -   , -   , 980 , -   , -   , 980 , -   , -   , -   , -   , -   
200044,RALAS DE JALAPEÑO ELMIGO 215G HNPI,100015,Bote rajas verdes 215,A," 216,000 "," 1,260,722 ",B,MTO,24, 840 , 383 , 560 , 560 , 560 , 560 , 560 , 850 , 850 , 850 , -   , 767 , 840 , 383 
200048,SLICED JAL PEPPERS 24/7 OZ,100015,Bote rajas verdes 215,A," 216,000 "," 1,626,415 ",B,MTO,24, 700 ," 1,260 "," 1,260 "," 2,100 "," 2,100 "," 1,120 "," 1,120 "," 1,400 "," 1,820 "," 1,540 ", -   , 840 , 700 , 700 
200074,RAJAS VERDES JALP GOLDEN HILLS 24/215G,100015,Bote rajas verdes 215,A," 216,000 "," 1,626,415 ",C,MTO,24, 109 , 100 , 120 , 120 , 120 , 278 , 305 , -   , 97 , 653 , 256 , 146 , 109 , 100 
200077,SLICED JAL PEPPERS CALIFORNIA 24/7 OZ,100015,Bote rajas verdes 215,A," 216,000 "," 1,626,415 ",C,MTO,24, 140 , 560 , 560 , 280 , 280 , 280 , 280 , -   , 140 , -   , -   , 420 , 140 , 140 
200096,SLICED JAL PEPPERS 24/250 ML CNHI,100015,Bote rajas verdes 215,A," 216,000 "," 1,626,415 ",C,MTO,24, -   , -   , 100 , -   , -   , 100 , -   , -   , 100 , -   , 100 , 100 , -   , -   
200010,RAJA JALAPEÑO VDE SM 24/380 G,100016,Bote rajas verdes 380,A," 129,600 "," 919,104 ",A,MTS,24," 5,923 "," 6,470 "," 5,378 "," 6,405 "," 7,259 "," 5,307 "," 8,067 "," 6,922 "," 7,896 "," 8,049 "," 6,407 "," 6,031 "," 5,923 "," 6,470 "
